,season,yr,mnth,weathersit,temp,registered,cnt,weekend,daytype,windspeed_median,hum_median,fri,mon,sat,sun,thur,tue,wed
0,1,0,1,2,0.344167,654,985,1,1,0.160446,0.805833,0,0,1,0,0,0,0
1,1,0,1,2,0.363478,670,801,1,1,0.248539,0.696087,0,0,0,1,0,0,0
2,1,0,1,1,0.196364,1229,1349,0,3,0.248309,0.437273,0,1,0,0,0,0,0
3,1,0,1,1,0.2,1454,1562,0,3,0.160296,0.590435,0,0,0,0,0,1,0
4,1,0,1,1,0.226957,1518,1600,0,3,0.1869,0.436957,0,0,0,0,0,0,1
5,1,0,1,1,0.204348,1518,1606,0,3,0.0895652,0.518261,0,0,0,0,1,0,0
6,1,0,1,2,0.196522,1362,1510,0,3,0.168726,0.498696,1,0,0,0,0,0,0
7,1,0,1,2,0.165,891,959,1,1,0.266804,0.535833,0,0,1,0,0,0,0
8,1,0,1,1,0.138333,768,822,1,1,0.36195,0.434167,0,0,0,1,0,0,0
9,1,0,1,1,0.150833,1280,1321,0,3,0.223267,0.482917,0,1,0,0,0,0,0
10,1,0,1,2,0.169091,1220,1263,0,3,0.122132,0.686364,0,0,0,0,0,1,0
11,1,0,1,1,0.172727,1137,1162,0,3,0.304627,0.599545,0,0,0,0,0,0,1
12,1,0,1,1,0.165,1368,1406,0,3,0.301,0.470417,0,0,0,0,1,0,0
13,1,0,1,1,0.16087,1367,1421,0,3,0.126548,0.537826,1,0,0,0,0,0,0
14,1,0,1,2,0.233333,1026,1248,1,1,0.157963,0.49875,0,0,1,0,0,0,0
15,1,0,1,1,0.231667,953,1204,1,1,0.188433,0.48375,0,0,0,1,0,0,0
16,1,0,1,2,0.175833,883,1000,0,2,0.194017,0.5375,0,1,0,0,0,0,0
17,1,0,1,2,0.216667,674,683,0,3,0.146775,0.861667,0,0,0,0,0,1,0
18,1,0,1,2,0.292174,1572,1650,0,3,0.208317,0.741739,0,0,0,0,0,0,1
19,1,0,1,2,0.261667,1844,1927,0,3,0.195904,0.538333,0,0,0,0,1,0,0
20,1,0,1,1,0.1775,1468,1543,0,3,0.353242,0.457083,1,0,0,0,0,0,0
21,1,0,1,1,0.0591304,888,981,1,1,0.17197,0.4,0,0,1,0,0,0,0
22,1,0,1,1,0.0965217,836,986,1,1,0.2466,0.436522,0,0,0,1,0,0,0
23,1,0,1,1,0.0973913,1330,1416,0,3,0.15833,0.491739,0,1,0,0,0,0,0
24,1,0,1,2,0.223478,1799,1985,0,3,0.129796,0.616957,0,0,0,0,0,1,0
25,1,0,1,3,0.2175,472,506,0,3,0.29385,0.8625,0,0,0,0,0,0,1
26,1,0,1,1,0.195,416,431,0,3,0.113837,0.6875,0,0,0,0,1,0,0
27,1,0,1,2,0.203478,1129,1167,0,3,0.1233,0.793043,1,0,0,0,0,0,0
28,1,0,1,1,0.196522,975,1098,1,1,0.145365,0.651739,0,0,1,0,0,0,0
29,1,0,1,1,0.216522,956,1096,1,1,0.0739826,0.722174,0,0,0,1,0,0,0
30,1,0,1,2,0.180833,1459,1501,0,3,0.187192,0.60375,0,1,0,0,0,0,0
31,1,0,2,2,0.192174,1313,1360,0,3,0.053213,0.829565,0,0,0,0,0,1,0
32,1,0,2,2,0.26,1454,1526,0,3,0.264308,0.775417,0,0,0,0,0,0,1
33,1,0,2,1,0.186957,1489,1550,0,3,0.277752,0.437826,0,0,0,0,1,0,0
34,1,0,2,2,0.211304,1620,1708,0,3,0.127839,0.585217,1,0,0,0,0,0,0
35,1,0,2,2,0.233333,905,1005,1,1,0.161079,0.929167,0,0,1,0,0,0,0
36,1,0,2,1,0.285833,1269,1623,1,1,0.1418,0.568333,0,0,0,1,0,0,0
37,1,0,2,1,0.271667,1592,1712,0,3,0.0454083,0.738333,0,1,0,0,0,0,0
38,1,0,2,1,0.220833,1466,1530,0,3,0.36195,0.537917,0,0,0,0,0,1,0
39,1,0,2,2,0.134783,1552,1605,0,3,0.188839,0.494783,0,0,0,0,0,0,1
40,1,0,2,1,0.144348,1491,1538,0,3,0.221935,0.437391,0,0,0,0,1,0,0
41,1,0,2,1,0.189091,1597,1746,0,3,0.10855,0.506364,1,0,0,0,0,0,0
42,1,0,2,1,0.2225,1184,1472,1,1,0.203367,0.544167,0,0,1,0,0,0,0
43,1,0,2,1,0.316522,1192,1589,1,1,0.260883,0.457391,0,0,0,1,0,0,0
44,1,0,2,1,0.415,1705,1913,0,3,0.417908,0.375833,0,1,0,0,0,0,0
45,1,0,2,1,0.266087,1675,1815,0,3,0.291374,0.314348,0,0,0,0,0,1,0
46,1,0,2,1,0.318261,1897,2115,0,3,0.251791,0.423478,0,0,0,0,0,0,1
47,1,0,2,1,0.435833,2216,2475,0,3,0.230104,0.505,0,0,0,0,1,0,0
48,1,0,2,1,0.521667,2348,2927,0,3,0.264925,0.516667,1,0,0,0,0,0,0
49,1,0,2,1,0.399167,1103,1635,1,1,0.507463,0.187917,0,0,1,0,0,0,0
50,1,0,2,1,0.285217,1173,1812,1,1,0.223235,0.407826,0,0,0,1,0,0,0
51,1,0,2,2,0.303333,912,1107,0,2,0.307846,0.605,0,1,0,0,0,0,0
52,1,0,2,1,0.182222,1376,1450,0,3,0.195683,0.577778,0,0,0,0,0,1,0
53,1,0,2,1,0.221739,1778,1917,0,3,0.094113,0.423043,0,0,0,0,0,0,1
